Date,total,returns
2023-02-27,9852417.49241146,-0.0016273269569351267
2023-02-28,9695134.1429138,-0.01596393470118418
2023-03-01,9904220.00885278,0.02156606219747892
2023-03-02,9832562.478885038,-0.007235050302163315
2023-03-03,9366478.082212506,-0.047402129167592455
2023-03-04,9362570.233355198,-0.0004172164631153219
2023-03-05,9396984.172172286,0.0036756935285231496
2023-03-06,9394573.364011833,-0.0002565512632862754
2023-03-07,9306620.995989095,-0.00936203961743065
2023-03-08,9096491.291837445,-0.02257851740628647
2023-03-09,8528932.895623975,-0.062393111586085626
2023-03-10,8455309.579429707,-0.008632183779056612
2023-03-11,8641764.771140391,0.022051846825845045
2023-03-12,9283240.983357346,0.07422977009964415
2023-03-13,10134995.785740612,0.09175187888693848
2023-03-14,10364748.993846439,0.022669294883089774
2023-03-15,10209729.202604622,-0.014956444322371198
2023-03-16,10493214.718957165,0.027766213062754286
2023-03-17,11486353.153360462,0.0946457745317153
2023-03-18,11294501.252645873,-0.0167025946488909
2023-03-19,11743835.972669173,0.039783493752593824
2023-03-20,11630145.139375871,-0.00968089417783835
2023-03-21,11801276.52434695,0.014714466837708162
2023-03-22,11437561.079413366,-0.030820008681536337
2023-03-23,11867519.34810022,0.03759177902540278
2023-03-24,11515402.287319643,-0.02967065403073854
2023-03-25,11515997.831378283,5.17171735541222e-05
2023-03-26,11725262.033312844,0.018171608313816145
2023-03-27,11367384.229041968,-0.03052194511765316
2023-03-28,11421097.722023094,0.004725228944394866
2023-03-29,11873579.499729892,0.0396180637553154
2023-03-30,11741694.304612143,-0.011107450379285289
2023-03-31,11928047.239444626,0.015871042968584437
2023-04-01,11899796.527190434,-0.0023684272611506074
2023-04-02,11811116.090194909,-0.00745226498561502
2023-04-03,11639772.010917174,-0.014507018470504951
2023-04-04,11798040.298665663,0.0135971982612757
2023-04-05,11802184.56542537,0.000351267384649967
2023-04-06,11746124.890630811,-0.004749940528703922
2023-04-07,11696583.478280261,-0.004217681389550587
2023-04-08,11705771.054272816,0.0007854922772632111
2023-04-09,11867133.226128137,0.013784839213681899
2023-04-10,12419978.084651103,0.04658621825410658
2023-04-11,12663778.11560157,0.019629666758571807
2023-04-12,12623566.620818026,-0.003175315803583434
2023-04-13,12732471.832211548,0.00862713483952482
2023-04-14,12768757.480927218,0.002849851088919886
2023-04-15,12698725.426295351,-0.005484641300179227
2023-04-16,12697409.993814182,-0.00010358775680319177
2023-04-17,12332885.492460275,-0.028708571396173888
2023-04-18,12731837.839566706,0.032348662229154
2023-04-19,12072211.440496685,-0.0518092051895368
2023-04-20,11830667.605306834,-0.020008250880993006
2023-04-21,11424774.879363183,-0.034308522518338824
2023-04-22,11651197.785459777,0.019818587979846036
2023-04-23,11556490.737090632,-0.008128524647254332
2023-04-24,11528828.206399849,-0.002393679129772508
2023-04-25,11856472.33303447,0.02841955147295372
2023-04-26,11904682.769858364,0.004066170397882152
2023-04-27,12344923.990217056,0.036980508331842854
2023-04-28,12288997.658391671,-0.00453030993708059
2023-04-29,12250558.888848612,-0.0031279011203009244
2023-04-30,12259069.115279965,0.000694680667924441
2023-05-01,11765989.720817542,-0.04022160164248023
2023-05-02,12012675.849898336,0.020966033026897257
2023-05-03,12149123.337893877,0.01135862564681589
2023-05-04,12082695.633704819,-0.005467695268338124
2023-05-05,12370304.965441432,0.023803407820215616
2023-05-06,12106532.93909588,-0.021323001096775207
2023-05-07,11918201.947211487,-0.015556145829018653
2023-05-08,11599585.0577844,-0.026733637409259825
